title,director,actor,box_office,synopsis,poster,open_date,degree,genre,country,movie_time
파묘,장재현,"최민식,김고은,유해진,이도현,김재철,김민준,김병오,전진기,박정자,박지일,이종구,이영란,정상철,김지안,김태준,김서현,송광자,최문경,김선영,이다윗,김소숙,정윤하,설승혜,홍서준,안태영,최정화,이아연,심소연,한미자,현지인,이경민,한동희,이정현,설창희,황유나,윤재인,김희상,선인호,백승철,윤종구,박종원,임호준,김진욱,류한선,박태양,이은경,박진영,홍석빈,한혜지,박재완,윤정훈,최교식,이지현,정예서,이은주,은수,장의돈,주광현,박용,신무호,김이석,김선동,한동균,박예빈,윤수진,정승기,강일웅,김영주,오보혜,고영규,선인호,전형규,이태운,임예은,최낙윤,정무성,진대연,송나영,유한솔,김하영",11914680.0,"미국 LA, 거액의 의뢰를 받은 무당 ‘화림’(김고은)과 ‘봉길’(이도현)은 기이한 병이 대물림되는 집안의 장손을 만난다. 조상의 묫자리가 화근임을 알아챈 ‘화림’은 이장을 권하고, 돈 냄새를 맡은 최고의 풍수사 ‘상덕’(최민식)과 장의사 ‘영근’(유해진)이 합류한다. “전부 잘 알 거야… 묘 하나 잘못 건들면 어떻게 되는지” 절대 사람이 묻힐 수 없는 악지에 자리한 기이한 묘. ‘상덕’은 불길한 기운을 느끼고 제안을 거절하지만, ‘화림’의 설득으로 결국 파묘가 시작되고… 나와서는 안될 것이 나왔다.",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240222_175%2F1708609058134r4oaq_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.02.22.,15세 이상 관람가,"미스터리, 공포",대한민국,134분
범죄도시4,허명행,"김무열,박지환,이동휘,마동석,곽자형,이범수,김민재,이지훈,이주빈,김도건,김지훈,현봉식,김신비,김영웅,류지훈,백승환,배재원,안성봉,김호준,정인기,권일용,박보경,김수진,배해선,조진결,최현도,강준석,정유겸,김선문,김모범,박근정,이상진,최순진,강전영,정지영,고서정,조현식,정기욱,김근혁,장태민,임서아,강신철,김형범,김형국,홍상우,주미진,서원준,이가회,김시영,민효경,박현진,강지연,지지안,우지영,김예소리,이한솔,조석인",11502779.0,"신종 마약 사건 3년 뒤, 괴물형사 ‘마석도’(마동석)와 서울 광수대는 배달앱을 이용한 마약 판매 사건을 수사하던 중 수배 중인 앱 개발자가 필리핀에서 사망한 사건이 대규모 온라인 불법 도박 조직과 연관되어 있음을 알아낸다. 필리핀에 거점을 두고 납치, 감금, 폭행, 살인 등으로 대한민국 온라인 불법 도박 시장을 장악한 특수부대 용병 출신의 빌런 ‘백창기’(김무열)와 한국에서 더 큰 판을 짜고 있는 IT업계 천재 CEO ‘장동철’(이동휘). ‘마석도’는 더 커진 판을 잡기 위해 ‘장이수’(박지환)에게 뜻밖의 협력을 제안하고 광역수사대는 물론, 사이버수사대까지 합류해 범죄를 소탕하기 시작하는데… 나쁜 놈 잡는데 국경도 영역도 제한 없다! 업그레이드 소탕 작전! 거침없이 싹 쓸어버린다!",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240425_256%2F17140073560223JK9r_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.04.24.,15세 이상 관람가,"액션, 범죄",대한민국,109분
인사이드 아웃 2,켈시 만,"에이미 포엘러,토니 헤일",8799013.0,"디즈니·픽사의 대표작 <인사이드 아웃> 새로운 감정과 함께 돌아오다! 13살이 된 라일리의 행복을 위해 매일 바쁘게 머릿속 감정 컨트롤 본부를 운영하는 ‘기쁨’, ‘슬픔’, ‘버럭’, ‘까칠’, ‘소심’. 그러던 어느 날, 낯선 감정인 ‘불안’, ‘당황’, ‘따분’, ‘부럽’이가 본부에 등장하고, 언제나 최악의 상황을 대비하며 제멋대로인 ‘불안’이와 기존 감정들은 계속 충돌한다. 결국 새로운 감정들에 의해 본부에서 쫓겨나게 된 기존 감정들은 다시 본부로 돌아가기 위해 위험천만한 모험을 시작하는데… 2024년, 전 세계를 공감으로 물들인 유쾌한 상상이 다시 시작된다!",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240612_151%2F1718180074487NH0V5_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.06.12.,전체 관람가,애니메이션,미국,96분
베테랑2,류승완,"황정민,정해인,장윤주,정만식,신승환,오달수,오대환,김시후,안보현,진경,권해효,변홍준,조관우,허준호,김재화,김가을,박준면,박경혜,주보비,신민재,현봉식,남진복,이다일,인선호,정호진,유창한,홍은철,이서아,고동옥,전석찬,이봉련,심규식,조성현,김용학,이상하,황영윤,강길우,오윤홍,김서원,정명진,김한솔,진희규,박찬별,정혜자,유민석,오현석,백종환,임승준,김명연,선종구,유하람,강희제,유태근,유재연,최가은,김미지,유민주,허남준,이진희,황인무,김원해,김경록,전현숙,김병만,황인기,곽자형,박명신,안상태,우정원,신우희,윤준열,오충근,이상협",7525322.0,"가족들도 못 챙기고 밤낮없이 범죄들과 싸우는 베테랑 형사 '서도철'(황정민)과 강력범죄수사대 형사들. 어느 날, 한 교수의 죽음이 이전에 발생했던 살인 사건들과 연관성이 있는 것으로 밝혀지며 전국은 연쇄살인범으로 인해 떠들썩해진다. 이에 단서를 추적하며 수사를 시작한 형사들. 하지만 이들을 비웃기라도 하듯, 연쇄살인범은 다음 살인 대상을 지목하는 예고편을 인터넷에 공개하며 또 한 번 전 국민을 흔들어 놓는다. 강력범죄수사대는 서도철의 눈에 든 정의감 넘치는 막내 형사 '박선우' (정해인)를 투입한다. 그리고 사건은 새로운 방향으로 흐르게 되는데...",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240826_273%2F1724636695791h4h0v_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.09.13.,15세 이상 관람가,"범죄, 액션",대한민국,118분
파일럿,김한결,"조정석,이주명,한선화,신승호,오민애,김지현,서재희,박다온,현봉식,서현철,유재석,조세호,강하늘,문상훈,이시언,차희,최필상,서명찬,은정완,유인혜,남현우,임세인,이수미,조주경,오태은,유형준,윤수혁,김사랑,조승구,김문희,김태훈,나현우,한사명,송훈,천윤경,민영,김승비,한주아,진한서,박제린,김대근,김영수,이시안,최혁,김민수,강경우,김관혁,성충모,박미라,백성욱,한지혁",4718036.0,"하루 아침에 인생 추락한 스타 파일럿 제 2의 인생 이륙 준비 중! 최고의 비행 실력을 갖춘 스타 파일럿이자 뜨거운 인기로 유명 TV쇼에도 출연할 만큼 고공행진 하던 한정우(조정석)는 순간의 잘못으로 하루아침에 모든 것을 잃고 실직까지 하게 된다. 블랙 리스트에 오른 그를 다시 받아줄 항공사는 어느 곳도 없었고 궁지에 몰린 한정우는 여동생의 신분으로 완벽히 변신, 마침내 재취업에 성공한다. 그러나 기쁨도 잠시! 또다시 예상치 못한 난관에 부딪히게 되는데… 인생 순항을 꿈꾸던 그의 삶은 무사히 이륙할 수 있을까?",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240731_171%2F1722418168362V2OKt_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.07.31.,12세 이상 관람가,코미디,대한민국,111분
탈주,이종필,"이제훈,구교환,홍사빈,서현우,이성욱,정준원,장영남,송강,이솜,이호정,배철수,이호철,한동희,김재우,이주광,진희규,박주훈,양영문,박다원,진하랑,박성민,김동률,김상흔,박윤희,우정원,차순배,송요셉,진용욱,정하늘,박예나,유지완,이태영,최민우,강희제,이승용,강이안,김호영,최세용,박가영,차준서,김다솔,장우영,황정민,홍정호,김윤배,이동기,고국희,김미소,황정용,고서정,박상호,윤준호,이창민,윤도,민현우,최현태,박준수,신동현,이재혁,이호준,김경래,정찬우,김상일,강태우,김동훈,남주현,김재석,박근형,김한상,문형철,박준환,윤상돈,이무녕,김수민",2561854.0,"“내 앞 길 내가 정했습니다” 휴전선 인근 북한 최전방 군부대. 10년 만기 제대를 앞둔 중사 ‘규남’(이제훈)은 미래를 선택할 수 없는 북을 벗어나 원하는 것을 해 볼 수 있는 철책 너머로의 탈주를 준비한다. 그러나, ‘규남’의 계획을 알아챈 하급 병사 ‘동혁’(홍사빈)이 먼저 탈주를 시도하고, 말리려던 ‘규남’까지 졸지에 탈주병으로 체포된다. “허튼 생각 말고 받아들여. 이것이 니 운명이야” 탈주병 조사를 위해 부대로 온 보위부 소좌 ‘현상’(구교환)은 어린 시절 알고 지내던 ‘규남’을 탈주병을 체포한 노력 영웅으로 둔갑시키고 사단장 직속보좌 자리까지 마련해주며 실적을 올리려 한다. 하지만 ‘규남’이 본격적인 탈출을 감행하자 ‘현상’은 물러설 길 없는 추격을 시작한다.",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240603_250%2F1717391161610hLGGJ_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.07.03.,12세 이상 관람가,액션,대한민국,94분
소방관,곽경택,"주원,곽도원,유재명,이유영,김민재,오대환,이준혁,장영남",2005612.0,"살리기 위해, 살아남기 위해 하루하루가 마지막 현장인 소방관 팀은 열악한 환경 속에서도 화재 진압과 전원 구조라는 단 하나의 목표로 의기투합한다. 어느 날, 다급하게 119 신고 전화로 홍제동에 화재가 발생했다는 긴급 상황이 접수되자 팀원들은 위기를 직감하는데… 누군가의 가족, 친구, 사랑하는 사람 우리가 기억해야 할 그 이름 <소방관> 2001년 가장 빛났던 그들의 이야기를 기억하겠습니다.",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20241205_267%2F1733374268697UdIRv_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.12.04.,12세 이상 관람가,드라마,대한민국,106분
핸섬가이즈,남동협,"이성민,이희준,공승연,박지환,이규형,우현",1776995.0,"“우리가 뭐 빠지는 게 있노? 집도 있고 차도 있고 인물도 훤칠한데” 자칭 터프가이 ‘재필’(이성민)과 섹시가이 ‘상구’(이희준) 현실은 잊지 못할 첫인상으로 이사 첫날부터 동네 경찰 ‘최 소장’(박지환)과 ‘남 순경’(이규형)의 특별 감시 대상이 되지만, 꿈꾸던 유럽풍 드림하우스에서 새출발 한다는 것에 그저 행복하기만 하다. 그러나 행복도 잠시, 물에 빠질 뻔한 ‘미나’(공승연)를 구해주려다 오히려 납치범으로 오해받는 상황이 이어진다. 한편 ‘미나’를 찾으러 온 불청객들을 시작으로 지하실에 봉인되어 있던 악령이 깨어나며 어두운 기운이 집안을 둘러싸기 시작하는데… “왜 다들 우리 집에 와서 죽고 난리야!”",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240628_57%2F17195663390837ClOR_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.06.26.,15세 이상 관람가,코미디,대한민국,101분
하이재킹,김성한,"하정우,여진구,성동일,채수빈,문유강,임형택,전정관,정예진,문우진,홍정혜,전영,변효준,서영삼,조주경,김철윤,정은선,김동욱,최광일,김종수,임세미,김선영,박지아,박수영,박지환,한수현,박지원,정지영,배준수,문성준,한송호,도예준,권정민,황기석,전인혁,이승준,조재준,한승헌,김소연,박하은,신수현,김봉현,염지영,민재경,김세중,손광민,추은경,이상협,오은재,김용범,김영규,장예슬,박세련,이상희,채상근,천성진,이민아,임정아,이서원,임세찬,정이듬,김병남,조새연,이시온,노정현,손병욱,백승익,정준환,정재현,임병우,이지현,이도후,김우현,변상문,구민혁,임정균,서윤석,김서현",1774150.0,"1971년 겨울 속초공항 여객기 조종사 태인(하정우)과 규식(성동일)은 김포행 비행에 나선다. 승무원 옥순(채수빈)의 안내에 따라 탑승 중인 승객들의 분주함도 잠시, 이륙한지 얼마 되지 않아 사제폭탄이 터지며 기내는 아수라장이 된다. ""지금부터 이 비행기 이북 간다"" 여객기를 통째로 납치하려는 용대(여진구)는 조종실을 장악하고 무작정 북으로 기수를 돌리라 협박한다. 폭발 충격으로 규식은 한 쪽 시력을 잃고 혼란스러운 기내에서 절체절명의 상황에 처한 태인. 이들은 여객기를 무사히 착륙시키기 위한 사투를 시작하는데... 대한민국 상공 여객기 납치 사건 이 비행에 모두가 목숨을 걸었다! <하이재킹>",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240705_147%2F1720142916385Hwze0_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.06.21.,12세 이상 관람가,"범죄, 액션",대한민국,100분
시민덕희,박영주,"라미란,공명,염혜란,박병은,장윤주,이무생,안은진,김율호",1715064.0,"내 돈을 사기 친 그 놈이 구조 요청을 해왔다! 세탁소 화재로 인해 대출상품을 알아보던 생활력 만렙 덕희에게 어느 날, 거래은행의 손대리가 합리적인 대출상품을 제안하겠다며 전화를 걸어온다. 대출에 필요하다며 이런저런 수수료를 요구한 손대리에게 돈을 보낸 덕희는 이 모든 과정이 보이스피싱이었음을 뒤늦게 인지하고 충격에 빠진다. 전 재산을 잃고 아이들과 거리로 나앉게 생긴 덕희에게 어느 날 손대리가 다시 전화를 걸어오는데… 이번엔 살려달라는 전화다! 경찰도 포기한 사건, 덕희는 손대리도 구출하고 잃어버린 돈도 찾겠다는 일념으로 필살기 하나씩 장착한 직장 동료들과 함께 중국 칭다오로 직접 날아간다.",https://search.pstatic.net/common?type=o&size=176x264&quality=85&direct=true&src=https%3A%2F%2Fs.pstatic.net%2Fmovie.phinf%2F20240124_126%2F1706084548964mScff_JPEG%2Fmovie_image.jpg%3Ftype%3Dw640_2,2024.01.24.,15세 이상 관람가,드라마,대한민국,114분
